Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for linux-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:34:48 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 8046080k(2920652k free), swap 2097148k(2097148k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxPermSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseParallelGC 
#8.970: GC发生时间，表示虚拟机启动后的8.970秒发生了GC
#[PSYoungGen: 262656K->43509K(306176K)]：年轻代262656K降低到43509K，年轻代总共可用空间为306176K
#262656K->56298K(1005568K), 1.2243680 secs ：整个堆内存从262656K降低到56298K，总共可用1005568K，GC用时1.2243680 secs
#[Times: user=1.17 sys=3.07, real=1.23 secs] ：用户CPU耗时user=1.17，系统CPU豪时sys=3.07，GC实际经历的时间real=1.23 secs
8.970: [GC [PSYoungGen: 262656K->43509K(306176K)] 262656K->56298K(1005568K), 1.2243680 secs] [Times: user=1.17 sys=3.07, real=1.23 secs] 
20.470: [GC [PSYoungGen: 306165K->43488K(306176K)] 318954K->122551K(1005568K), 3.2954230 secs] [Times: user=0.87 sys=10.41, real=3.30 secs] 
24.284: [GC [PSYoungGen: 306144K->43492K(306176K)] 385207K->149166K(1005568K), 0.7673370 secs] [Times: user=0.57 sys=2.42, real=0.76 secs] 
25.333: [GC [PSYoungGen: 306148K->43491K(306176K)] 411822K->188895K(1005568K), 1.2620580 secs] [Times: user=0.68 sys=4.34, real=1.26 secs] 
26.873: [GC [PSYoungGen: 306147K->43507K(306176K)] 451551K->275241K(1005568K), 2.6727900 secs] [Times: user=0.60 sys=8.31, real=2.68 secs] 
29.652: [GC [PSYoungGen: 306163K->43491K(160768K)] 537897K->366414K(860160K), 4.0169470 secs] [Times: user=1.27 sys=11.18, real=4.02 secs] 
33.726: [GC [PSYoungGen: 160739K->45939K(233472K)] 483662K->406274K(932864K), 0.7221270 secs] [Times: user=1.48 sys=1.34, real=0.73 secs] 
34.492: [GC [PSYoungGen: 163187K->84800K(233472K)] 523522K->446226K(932864K), 0.1610550 secs] [Times: user=0.34 sys=0.29, real=0.16 secs] 
34.698: [GC [PSYoungGen: 202048K->116192K(233472K)] 563474K->489986K(932864K), 0.3550460 secs] [Times: user=0.54 sys=0.84, real=0.35 secs] 
35.102: [GC [PSYoungGen: 233440K->85504K(233472K)] 607234K->530090K(932864K), 1.6758930 secs] [Times: user=0.52 sys=6.12, real=1.68 secs] 
36.885: [GC [PSYoungGen: 202752K->28694K(233472K)] 647338K->559129K(932864K), 1.8670710 secs] [Times: user=0.47 sys=5.97, real=1.87 secs] 
38.789: [GC [PSYoungGen: 145942K->1312K(233472K)] 676377K->560482K(932864K), 0.6975690 secs] [Times: user=0.26 sys=2.09, real=0.70 secs] 
39.519: [GC [PSYoungGen: 118560K->1632K(233472K)] 677730K->562082K(932864K), 0.0313270 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
39.578: [GC [PSYoungGen: 118880K->704K(233472K)] 679330K->562754K(932864K), 0.0070200 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
39.608: [GC [PSYoungGen: 117952K->640K(233472K)] 680002K->563346K(932864K), 0.0057920 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
39.639: [GC [PSYoungGen: 117888K->640K(233472K)] 680594K->563978K(932864K), 0.0046050 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
39.668: [GC [PSYoungGen: 117888K->640K(233472K)] 681226K->564570K(932864K), 0.0297870 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
39.720: [GC [PSYoungGen: 117888K->640K(233472K)] 681818K->565170K(932864K), 0.0167730 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
39.760: [GC [PSYoungGen: 117888K->672K(233472K)] 682418K->565754K(932864K), 0.0110290 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
39.795: [GC [PSYoungGen: 117920K->672K(233472K)] 683002K->566354K(932864K), 0.0085480 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
39.830: [GC [PSYoungGen: 117920K->768K(233472K)] 683602K->567098K(932864K), 0.0085480 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
39.871: [GC [PSYoungGen: 118016K->832K(233472K)] 684346K->567874K(932864K), 0.0048160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
39.911: [GC [PSYoungGen: 118080K->864K(233472K)] 685122K->568698K(932864K), 0.0560540 secs] [Times: user=0.21 sys=0.00, real=0.05 secs] 
39.997: [GC [PSYoungGen: 118112K->832K(233472K)] 685946K->569466K(932864K), 0.0045310 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
40.035: [GC [PSYoungGen: 118080K->992K(233472K)] 686714K->570394K(932864K), 0.0052170 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
40.077: [GC [PSYoungGen: 118240K->1056K(236544K)] 687642K->571378K(935936K), 0.0287530 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
40.145: [GC [PSYoungGen: 121376K->1088K(233472K)] 691698K->572394K(932864K), 0.0049290 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
40.238: [GC [PSYoungGen: 121408K->704K(249344K)] 692714K->573026K(948736K), 0.0086880 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
40.489: [GC [PSYoungGen: 143552K->2656K(243200K)] 715874K->575658K(942592K), 0.0123620 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
40.575: [GC [PSYoungGen: 145504K->1536K(261632K)] 718506K->577178K(961024K), 0.0704400 secs] [Times: user=0.24 sys=0.00, real=0.07 secs] 
40.697: [GC [PSYoungGen: 169472K->1408K(256000K)] 745114K->578570K(955392K), 0.0055210 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
40.753: [GC [PSYoungGen: 169344K->1408K(272384K)] 746506K->579882K(971776K), 0.0973030 secs] [Times: user=0.38 sys=0.00, real=0.10 secs] 
40.911: [GC [PSYoungGen: 191360K->1440K(267264K)] 769834K->581218K(966656K), 0.0053700 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
40.978: [GC [PSYoungGen: 191392K->1568K(282624K)] 771170K->582746K(982016K), 0.0071180 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
41.059: [GC [PSYoungGen: 212000K->6272K(277504K)] 793178K->589010K(976896K), 0.0862650 secs] [Times: user=0.32 sys=0.00, real=0.08 secs] 
41.210: [GC [PSYoungGen: 216704K->14240K(291328K)] 799442K->603194K(990720K), 0.1971820 secs] [Times: user=0.77 sys=0.00, real=0.20 secs] 
41.460: [GC [PSYoungGen: 243616K->1824K(287744K)] 832570K->605018K(987136K), 0.3014700 secs] [Times: user=0.60 sys=0.60, real=0.30 secs] 
41.825: [GC [PSYoungGen: 231200K->64K(297984K)] 834394K->605042K(997376K), 0.0086230 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
41.894: [GC [PSYoungGen: 243264K->64K(294912K)] 848242K->605058K(994304K), 0.0041220 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
41.953: [GC [PSYoungGen: 243264K->64K(304128K)] 848258K->605074K(1003520K), 0.0116460 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
42.026: [GC [PSYoungGen: 255552K->64K(301056K)] 860562K->605082K(1000448K), 0.0038960 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
42.085: [GC [PSYoungGen: 255552K->96K(309760K)] 860570K->605122K(1009152K), 0.0040900 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
42.150: [GC [PSYoungGen: 267360K->96K(307200K)] 872386K->605138K(1006592K), 0.0053010 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
42.218: [GC [PSYoungGen: 267360K->96K(314880K)] 872402K->605146K(1014272K), 0.0039220 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
42.292: [GC [PSYoungGen: 277600K->96K(312320K)] 882650K->605162K(1011712K), 0.0052800 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
42.364: [GC [PSYoungGen: 277600K->64K(319488K)] 882666K->605146K(1018880K), 0.0088340 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
42.445: [GC [PSYoungGen: 287296K->64K(317440K)] 892378K->605154K(1016832K), 0.0039960 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
42.526: [GC [PSYoungGen: 287296K->128K(323584K)] 892386K->605226K(1022976K), 0.0039920 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
42.662: [GC [PSYoungGen: 295552K->10496K(321536K)] 900650K->615610K(1020928K), 0.0073000 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
42.780: [GC [PSYoungGen: 305920K->26592K(293376K)] 911034K->655458K(992768K), 0.8110890 secs] [Times: user=1.02 sys=1.89, real=0.81 secs] 
43.719: [GC [PSYoungGen: 293344K->41440K(308224K)] 922210K->705506K(1007616K), 0.8668090 secs] [Times: user=0.39 sys=2.81, real=0.86 secs] 
44.674: [GC-- [PSYoungGen: 308192K->308192K(308224K)] 972258K->1007578K(1007616K), 1.1022750 secs] [Times: user=0.38 sys=3.10, real=1.10 secs] 
#PSYoungGen
#ParOldGen
#PSPermGen
45.777: [Full GC [PSYoungGen: 308192K->0K(308224K)] [ParOldGen: 699386K->310363K(699392K)] 1007578K->310363K(1007616K) [PSPermGen: 44827K->44782K(90112K)], 4.5186760 secs] [Times: user=2.60 sys=6.28, real=4.52 secs] 
50.872: [GC [PSYoungGen: 266752K->41440K(239616K)] 577115K->371339K(939008K), 0.1077350 secs] [Times: user=0.10 sys=0.00, real=0.11 secs] 
51.402: [GC [PSYoungGen: 239584K->41472K(239616K)] 569483K->412979K(939008K), 0.0712210 secs] [Times: user=0.09 sys=0.00, real=0.07 secs] 
51.642: [GC [PSYoungGen: 239616K->22336K(276992K)] 611123K->435491K(976384K), 0.1582670 secs] [Times: user=0.19 sys=0.00, real=0.16 secs] 
51.933: [GC [PSYoungGen: 220992K->3840K(271360K)] 634147K->439387K(970752K), 0.0392000 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
52.096: [GC [PSYoungGen: 202496K->4416K(281088K)] 638043K->443787K(980480K), 0.0250450 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
52.232: [GC [PSYoungGen: 214848K->4576K(279040K)] 654219K->448331K(978432K), 0.0272290 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
52.419: [GC [PSYoungGen: 215008K->3872K(286208K)] 658763K->452139K(985600K), 0.0272410 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
52.523: [GC [PSYoungGen: 224032K->11520K(283648K)] 672299K->463595K(983040K), 0.0270650 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
52.640: [GC [PSYoungGen: 231680K->64K(292352K)] 683755K->463643K(991744K), 0.0559220 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
52.770: [GC [PSYoungGen: 233024K->64K(290304K)] 696603K->463659K(989696K), 0.0043050 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
