host,description,principal name,principal type,local username,keytab file path,keytab file owner,keytab file owner access,keytab file group,keytab file group access,keytab file mode,keytab file installed
hdp01.example.com,/spnego,HTTP/hdp01.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
hdp02.example.com,/spnego,HTTP/hdp02.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
hdp03.example.com,/spnego,HTTP/hdp03.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
hdp04.example.com,/spnego,HTTP/hdp04.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
hdp05.example.com,/spnego,HTTP/hdp05.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
hdp06.example.com,/spnego,HTTP/hdp06.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
hdp07.example.com,/spnego,HTTP/hdp07.example.com@EXAMPLE.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
hdp03.example.com,activity_analyzer,activity_analyzer/hdp03.example.com@EXAMPLE.COM,SERVICE,activity_analyzer,/etc/security/keytabs/activity-analyzer.headless.keytab,,r,,,400,unknown
hdp03.example.com,activity_explorer,activity_explorer/hdp03.example.com@EXAMPLE.COM,SERVICE,activity_explorer,/etc/security/keytabs/activity-explorer.headless.keytab,,r,,,400,unknown
hdp01.example.com,/smokeuser,ambari-qa@EXAMPLE.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
hdp02.example.com,/smokeuser,ambari-qa@EXAMPLE.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
hdp03.example.com,/smokeuser,ambari-qa@EXAMPLE.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
hdp04.example.com,/smokeuser,ambari-qa@EXAMPLE.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
hdp05.example.com,/smokeuser,ambari-qa@EXAMPLE.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
hdp06.example.com,/smokeuser,ambari-qa@EXAMPLE.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
hdp07.example.com,/smokeuser,ambari-qa@EXAMPLE.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
hdp01.example.com,ambari-server,ambari-server@EXAMPLE.COM,USER,,/etc/security/keytabs/ambari.server.keytab,,,,,000,unknown
hdp04.example.com,ams_collector,amshbase/hdp04.example.com@EXAMPLE.COM,SERVICE,ams,/etc/security/keytabs/ams.collector.keytab,ams,r,hadoop,,400,unknown
hdp04.example.com,ams_hbase_master_hbase,amshbase/hdp04.example.com@EXAMPLE.COM,SERVICE,ams,/etc/security/keytabs/ams-hbase.master.keytab,ams,r,hadoop,,400,unknown
hdp04.example.com,ams_hbase_regionserver_hbase,amshbase/hdp04.example.com@EXAMPLE.COM,SERVICE,ams,/etc/security/keytabs/ams-hbase.regionserver.keytab,ams,r,hadoop,,400,unknown
hdp04.example.com,ams_zookeeper,amszk/hdp04.example.com@EXAMPLE.COM,SERVICE,ams,/etc/security/keytabs/ams-zk.service.keytab,ams,r,hadoop,,400,unknown
